slug,chapter,heading,video,current_start,proposed_start,delta_sec,score,fb2_opening,heard_at_match,at_window_edge,check_url,new_start_sec
yunost,19,Глава 20,BOIXjt-_2UI,2:39:52,2:39:22,-30,0.798,мне еще тяжелей стало думать о предстоящем необходимом,неприятно заразилось о предстоящем необходимом визите но прежде,,https://youtu.be/BOIXjt-_2UI?t=9558,
yunost,20,Глава 21,BOIXjt-_2UI,2:48:39,2:48:45,6,0.966,ну теперь последний визит на никитскую сказал я,ну теперь последний визит на нитку сказал я,,https://youtu.be/BOIXjt-_2UI?t=10122,
yunost,21,Глава 22,BOIXjt-_2UI,2:55:14,2:55:19,5,0.954,теперешний разговор наш происходил в фаэтоне на дороге,теперешний разговор наш происходил в файне на дороге,,https://youtu.be/BOIXjt-_2UI?t=10516,
yunost,22,Глава 23,BOIXjt-_2UI,3:07:28,3:07:33,5,1.0,в первую минуту из всего этого общества более,в первую минуту из всего этого общества более,,https://youtu.be/BOIXjt-_2UI?t=11250,
yunost,23,Глава 24,BOIXjt-_2UI,3:20:29,3:20:35,6,1.0,софья ивановна как я ее после узнал была,софья ивановна как я ее после узнал была,,https://youtu.be/BOIXjt-_2UI?t=12031,
yunost,24,Глава 25,BOIXjt-_2UI,3:34:10,3:34:17,7,1.0,когда я вернулся на галерею там вовсе не,когда я вернулся на галерею там вовсе не,,https://youtu.be/BOIXjt-_2UI?t=12853,
yunost,25,Глава 26,BOIXjt-_2UI,3:45:32,3:45:37,5,0.636,во время чая чтение прекратилось и дамы занялись,с самой выгодной стороны во время чая чтение,,https://youtu.be/BOIXjt-_2UI?t=13533,
yunost,26,Глава 27,BOIXjt-_2UI,3:56:04,3:56:09,5,0.77,когда после прогулки мы вернулись домой варенька не,когда после прогулки мы домой тела петь как,,https://youtu.be/BOIXjt-_2UI?t=14166,
yunost,27,Глава 28,BOIXjt-_2UI,4:07:43,4:07:48,5,1.0,на другой день мы с володей на почтовых,на другой день мы с володей на почтовых,,https://youtu.be/BOIXjt-_2UI?t=14865,
yunost,28,Глава 29,BOIXjt-_2UI,4:19:09,4:19:18,9,1.0,володя имел такой странный взгляд на девочек что,володя имел такой странный взгляд на девочек что,,https://youtu.be/BOIXjt-_2UI?t=15554,
yunost,29,Глава 30,BOIXjt-_2UI,4:31:04,4:31:09,5,0.964,несмотря на это я в нынешнее лето больше,несмотря на это я в нынешнее лето больше,,https://youtu.be/BOIXjt-_2UI?t=16266,
yunost,30,Глава 31,BOIXjt-_2UI,4:41:28,4:41:28,0,0.772,уже несколько раз в продолжение этого рассказа я,гуще глава комельо уже неско раз в продолжени,,https://youtu.be/BOIXjt-_2UI?t=16885,
yunost,31,Глава 32,BOIXjt-_2UI,4:50:17,4:50:22,5,0.982,несмотря на происходившую у меня в голове путаницу,несмотря на происходивший у меня в голове путаницу,,https://youtu.be/BOIXjt-_2UI?t=17418,
yunost,32,Глава 33,BOIXjt-_2UI,5:07:06,5:07:11,5,0.933,меня очень удивило в первый день нашего приезда,соседи меня очень удивило в первый день нашего,,https://youtu.be/BOIXjt-_2UI?t=18428,
yunost,33,Глава 34,BOIXjt-_2UI,5:18:25,5:18:31,6,0.914,отцу было сорок восемь лет когда он во,отцу было 48 лет когда он во второй,,https://youtu.be/BOIXjt-_2UI?t=19108,
yunost,34,Глава 35,BOIXjt-_2UI,5:27:28,5:27:34,6,0.947,накануне этого официального извещения все в доме уже,накануне этого официального все в доме уже знали,,https://youtu.be/BOIXjt-_2UI?t=19651,
yunost,35,Глава 36,BOIXjt-_2UI,5:39:21,5:39:26,5,0.982,свадьба должна была быть через две недели но,свадьба должна была быть через 2 недели но,,https://youtu.be/BOIXjt-_2UI?t=20363,
yunost,36,Глава 37,BOIXjt-_2UI,5:51:08,5:51:13,5,0.995,сердечные дела занимали меня в эту зиму довольно,сердечные дела занимали меня в эту зиму довольно,,https://youtu.be/BOIXjt-_2UI?t=21070,
yunost,37,Глава 38,BOIXjt-_2UI,5:56:51,5:56:52,1,0.875,светские удовольствия которым вступая в университет я мечтал,тридцать вома свет светские удовольствия которым вступая в,,https://youtu.be/BOIXjt-_2UI?t=21409,
yunost,38,Глава 39,BOIXjt-_2UI,6:03:14,6:03:19,5,0.986,несмотря на то что под влиянием дмитрия я,несмотря на то что под влиянием дмитрия я,,https://youtu.be/BOIXjt-_2UI?t=21796,
yunost,39,Глава 40,BOIXjt-_2UI,6:13:39,6:13:43,4,1.0,в эту зиму я очень часто виделся не,в эту зиму я очень часто виделся не,,https://youtu.be/BOIXjt-_2UI?t=22420,
yunost,40,Глава 41,BOIXjt-_2UI,6:22:25,6:22:30,5,0.982,именно в эту пору дружба моя с дмитрием,именно в эту пору дружба моя с дмитрием,,https://youtu.be/BOIXjt-_2UI?t=22947,
yunost,41,Глава 42,BOIXjt-_2UI,6:33:14,6:33:18,4,1.0,несмотря на то что папа хотел приехать с,несмотря на то что папа хотел приехать с,,https://youtu.be/BOIXjt-_2UI?t=23594,
yunost,42,Глава 43,BOIXjt-_2UI,6:47:18,6:47:23,5,0.976,зима прошла незаметно и уже опять начинало таять,зима прошла незаметно и уже опять начинала таять,,https://youtu.be/BOIXjt-_2UI?t=24440,
yunost,43,Глава 44,BOIXjt-_2UI,7:03:38,7:03:38,0,0.954,не знаю к какому сословию принадлежал зухин но,не знаю какому сословию принадлежал зухн но знаю,,https://youtu.be/BOIXjt-_2UI?t=25414,
yunost,44,Глава 45,BOIXjt-_2UI,7:16:32,7:16:39,7,1.0,наконец настал первый экзамен дифференциалов и интегралов а,наконец настал первый экзамен дифференциалов и интегралов а,,https://youtu.be/BOIXjt-_2UI?t=26195,
