slug,chapter,heading,video,current_start,proposed_start,delta_sec,score,fb2_opening,heard_at_match,at_window_edge,check_url,new_start_sec
dym,3,Глава 4,ypv0CvWL3Kk,0:32:39,0:30:47,-112,0.697,iv григорий литвинов рубашка парень русская душа рекомендую,и дама проворнее прежнего побежала вниз по широким,,https://youtu.be/ypv0CvWL3Kk?t=1844,
dym,7,Глава 8,ypv0CvWL3Kk,1:54:52,1:53:10,-102,0.884,viii в ту зиму двор посетил москву одни,и планы в ту зиму двор посетил москву,,https://youtu.be/ypv0CvWL3Kk?t=6787,
dym,8,Глава 9,ypv0CvWL3Kk,3:02:34,3:00:33,-121,0.818,xii они пришли в одну из лучших гостиниц,вместе с потуги они пришли в одну из,,https://youtu.be/ypv0CvWL3Kk?t=10829,
dym,9,Глава 10,ypv0CvWL3Kk,4:35:26,4:33:52,-94,0.844,xvi литвинов не спал всю ночь и не,ирины так и воздвигать вс ноч и не,,https://youtu.be/ypv0CvWL3Kk?t=16429,
falshivyy-kupon,0,Глава 1,firrL2Nw8Kg,0:01:26,0:00:11,-75,0.844,федор михайлович смоковников председатель казенной палаты человек неподкупной,федор михайлович смоковнице казенной палаты человек неподкупности и,,https://youtu.be/firrL2Nw8Kg?t=7,
foma-gordeev,2,Глава 3,JkHePCy4_gM,1:25:33,1:24:37,-56,0.922,в первый же день школьной жизни фома ошеломленный,в 1 же день школьной жизни am ошеломленный,,https://youtu.be/JkHePCy4_gM?t=5073,
foma-gordeev,3,Глава 4,JkHePCy4_gM,3:22:34,3:21:26,-68,0.904,смерть отца ошеломила фому и наполнила его странным,a shell мила фому и наполнило его странным,,https://youtu.be/JkHePCy4_gM?t=12082,
foma-gordeev,4,Глава 5,JkHePCy4_gM,4:24:54,4:22:17,-157,0.775,двойственное отношение к маякину все укреплялось у фомы,хуже she ником а я кину все укреплялась,,https://youtu.be/JkHePCy4_gM?t=15733,
foma-gordeev,5,Глава 6,JkHePCy4_gM,4:44:16,4:43:22,-54,0.932,охваченный тоскливой и мстительной злобой приехал фома в,нет охваченный тоскливые мстительной злобы приехал фома в,,https://youtu.be/JkHePCy4_gM?t=16998,
foma-gordeev,6,Глава 7,JkHePCy4_gM,5:12:26,5:10:24,-122,0.947,прошло с неделю времени после разговора с медынской,прошлось неделю времени после разговора с медицинской и,,https://youtu.be/JkHePCy4_gM?t=18620,
foma-gordeev,9,Глава 10,JkHePCy4_gM,8:04:03,8:02:18,-105,0.939,до ссоры с маякиным фома кутил от скуки,ссоры с маяки лимфома кутил от скуки полу,,https://youtu.be/JkHePCy4_gM?t=28934,
foma-gordeev,11,Глава 12,JkHePCy4_gM,9:58:34,9:57:28,-66,0.94,фома сидел у ежова и слушал городские новости,по массе делу ежовый и слушал городские новости,,https://youtu.be/JkHePCy4_gM?t=35844,
foma-gordeev,12,Глава 13,JkHePCy4_gM,10:55:42,10:55:12,-30,0.952,все ли здеся спросил илья ефимович кононов стоя,все ли здесь спросил илья ефимыч канонов стоя,,https://youtu.be/JkHePCy4_gM?t=39309,
gospoda-golovlevy,0,Глава 1,eFS0jQOlijs,0:01:11,0:00:21,-50,0.854,однажды бурмистр из дальней вотчины антон васильев окончив,суд однажды бурмистр из дальней вотчины антон васильев,,https://youtu.be/eFS0jQOlijs?t=17,
gospoda-golovlevy,1,Глава 2,eFS0jQOlijs,2:07:52,2:06:17,-95,0.623,жаркий июльский полдень на дубровинской барской усадьбе словно,ничего не нужно пород жаркий июльский полдень на,,https://youtu.be/eFS0jQOlijs?t=7574,
gospoda-golovlevy,4,Глава 5,eFS0jQOlijs,8:05:08,8:03:58,-70,0.897,однажды незадолго от катастрофы с петенькой арина петровна,однажды незадолго до катастрофы с петей арина петровна,,https://youtu.be/eFS0jQOlijs?t=29035,
kazaki,15,Глава 16,iyPsxqSj-zQ,2:56:31,2:52:53,-218,0.914,дядя ерошка был заштатный и одинокий казак жена,дядя ерошка был за штатный и одинокий казак,,https://youtu.be/iyPsxqSj-zQ?t=10369,
kazaki,31,Глава 32,iyPsxqSj-zQ,5:37:11,5:33:05,-246,0.969,раза два он останавливался прислушиваясь к звонкому смеху,раза два он останавливался прислушиваясь к звонко смеху,,https://youtu.be/iyPsxqSj-zQ?t=19981,
krasnyy-smekh,1,Глава 2,Io5The4PKHE,0:14:06,0:11:59,-127,0.871,почти все лошади и прислуга на восьмой батарее,второй почти все лошади и прислуга на восьмой,,https://youtu.be/Io5The4PKHE?t=716,
krasnyy-smekh,12,Глава 13,Io5The4PKHE,1:52:45,1:52:03,-42,0.935,повсеместные побоища бессмысленные и кровавые малейший толчок вызывает,и повсеместные побоище бессмысленные и малейший толчок вызывает,,https://youtu.be/Io5The4PKHE?t=6720,
nakanune,10,Глава 11,ttJEPOe0ndw,1:56:12,1:55:08,-64,0.93,xi два дня спустя инсаров по обещанию явился,2 дня спустя инсаров по обещанию явился к,,https://youtu.be/ttJEPOe0ndw?t=6905,
nakanune,18,Глава 19,ttJEPOe0ndw,3:49:11,3:48:27,-44,0.956,xix час спустя елена с шляпою в одной,час спустя елена со шляпой в одной руке,,https://youtu.be/ttJEPOe0ndw?t=13704,
nakanune,28,Глава 29,ttJEPOe0ndw,5:12:47,5:12:15,-32,0.918,xxix николай артемьевич ходил нахмурив брови взад и,чуть слышно николай артемович ходил нахмурив брови взади,,https://youtu.be/ttJEPOe0ndw?t=18732,
nov,5,Глава 6,Sdxmls9hcL0,1:20:30,1:20:09,-21,0.64,vi извините меня валентина михайловна сказала она приблизившись,острижен в кружок марианна викентьевна племянница сипягина по,,https://youtu.be/Sdxmls9hcL0?t=4806,
nov,7,Глава 8,Sdxmls9hcL0,1:53:03,1:51:46,-77,0.875,viii нежданов проснулся рано и не дожидаясь появления,точно в крепости рано и не дожидаясь появления,,https://youtu.be/Sdxmls9hcL0?t=6702,
nov,8,Глава 9,Sdxmls9hcL0,3:37:33,3:32:33,-300,0.63,xiv минуло еще две недели все шло своим,на входив из темного сада молодую чету минуло,,https://youtu.be/Sdxmls9hcL0?t=12749,
nov,12,Глава 13,Sdxmls9hcL0,4:44:48,4:38:06,-402,0.819,xix фомушка и фимушка фома лаврентьевич и евфимия,паклин фока и фишка вре евфимия пана суче,,https://youtu.be/Sdxmls9hcL0?t=16683,
nov,24,Глава 25,Sdxmls9hcL0,9:31:44,9:31:19,-25,0.741,xxxiv было уже десять часов вечера и в,было уже и в гостиной села аржанова сипягин,,https://youtu.be/Sdxmls9hcL0?t=34276,
nov,28,Глава 29,Sdxmls9hcL0,11:02:10,10:58:57,-193,0.928,xxxviii через два дня после всех этих происшествий,через 2 дня после всех этих происшествий на,,https://youtu.be/Sdxmls9hcL0?t=39533,
poedinok,3,Глава 4,Ol5EzQln5KA,1:09:33,1:08:56,-37,0.96,на дворе стояла совершенно черная непроницаемая ночь так,на 2 стояла совершенно черная непроницаемую ночь так,,https://youtu.be/Ol5EzQln5KA?t=4133,
poedinok,8,Глава 9,Ol5EzQln5KA,3:49:02,3:48:06,-56,0.935,в зале которая казалось вся дрожала от оглушительных,в за века оказалась вся дрожала от оглушительных,,https://youtu.be/Ol5EzQln5KA?t=13682,
poedinok,12,Глава 13,Ol5EzQln5KA,5:25:18,5:23:59,-79,0.86,подъезжая около пяти часов к дому который занимали,согласился ветки только 5 часов к дому которые,,https://youtu.be/Ol5EzQln5KA?t=19436,
poedinok,13,Глава 14,Ol5EzQln5KA,5:38:27,5:36:50,-97,0.873,пикник вышел не столько веселым сколько крикливым и,столько веселым сколько крикливым и беспорядочно сумма тож,,https://youtu.be/Ol5EzQln5KA?t=20206,
poedinok,16,Глава 17,Ol5EzQln5KA,7:44:59,7:43:59,-60,0.896,с этой ночи в ромашове произошел глубокий душевный,с этой а шо ви произошел глубокий душевный,,https://youtu.be/Ol5EzQln5KA?t=27836,
poedinok,17,Глава 18,Ol5EzQln5KA,7:59:31,7:58:17,-74,0.908,в самом конце мая в роте капитана осадчего,пустоту самым к а в роке капитана осадчего,,https://youtu.be/Ol5EzQln5KA?t=28693,
taras-bulba,0,Глава 1,CJMvJ8av-fk,0:00:51,0:00:00,-51,0.737,а поворотись ка сын экой ты смешной какой,глава первая а поворотись косынку эки ты смешной,,https://youtu.be/CJMvJ8av-fk?t=0,
taras-bulba,2,Глава 3,CJMvJ8av-fk,1:04:10,0:58:58,-312,0.749,уже около недели тарас бульба жил с сыновьями,самый царьград пори голову старый бульба раздумьями своими,,https://youtu.be/CJMvJ8av-fk?t=3535,
taras-bulba,3,Глава 4,CJMvJ8av-fk,1:21:43,1:20:45,-58,0.918,а на другой день тарас бульба уже совещался,вся сечь глава день тарас бульба уже совещался,,https://youtu.be/CJMvJ8av-fk?t=4841,
taras-bulba,10,Глава 11,CJMvJ8av-fk,4:52:57,4:49:56,-181,0.723,в то время когда происходило описываемое событие на,на дороге глава одиннадцатая в то время когда,,https://youtu.be/CJMvJ8av-fk?t=17393,
taras-bulba,11,Глава 12,CJMvJ8av-fk,5:24:08,5:20:29,-219,0.811,отыскался след тарасов сто двадцать тысяч козацкого войска,отыскал след 120 000 казацкого войска показалось на,,https://youtu.be/CJMvJ8av-fk?t=19226,
tri-sestry,2,Действие третье,m6XH7_ceIvQ,1:17:54,1:17:28,-26,0.96,комната ольги и ирины налево и направо постели,комната ольги и ирины налево и направо постели,,https://youtu.be/m6XH7_ceIvQ?t=4644,
vecher-nakanune-ivana-kupala,0,Глава 1,zExWDuLeEYI,0:06:12,0:00:04,-368,0.629,за фомою григорьевичем водилась особенного рода странность он,быль рассказанная очком церкви заю грим водилась особого,,https://youtu.be/zExWDuLeEYI?t=1,
viy,0,Глава 1,Tn4lUvvsb1I,0:00:35,0:00:03,-32,0.93,вий есть колоссальное создание простонародного воображения таким именем,вий вий есть колоссальное создание простонародной таким именем,,https://youtu.be/Tn4lUvvsb1I?t=0,
yama,1,Глава 2,YhfjI8LWF3Y,0:01:11,0:00:05,-66,0.936,два часа дня во второстепенном двухрублевом заведении анны,часа дня во второстепенном 2 рублевом заведение анны,,https://youtu.be/YhfjI8LWF3Y?t=2,
yama,7,Глава 8,eLnsm8AGV24,0:01:09,0:00:03,-66,0.725,все они кроме репортера провели целый день с,восьмая все они кроме репортера провели целый день,,https://youtu.be/eLnsm8AGV24?t=0,
yama,25,Глава 26,AuD8t8nEczM,0:00:51,0:00:05,-46,0.971,вот и чудесно и хорошо и мило говорил,и чудесно и хорошо и мило говорил ли,,https://youtu.be/AuD8t8nEczM?t=1,
yama,28,Глава 29,tWs7gUuc5Kg,0:01:04,0:00:04,-60,0.949,надо отдать справедливость лихонину он сделал все чтобы,надо отдать справедливость ли хани ну он сделал,,https://youtu.be/tWs7gUuc5Kg?t=0,
yunost,19,Глава 20,BOIXjt-_2UI,2:39:52,2:39:22,-30,0.798,мне еще тяжелей стало думать о предстоящем необходимом,неприятно заразилось о предстоящем необходимом визите но прежде,,https://youtu.be/BOIXjt-_2UI?t=9558,
zloumyshlennik,0,Глава 1,VG89uZQ8hA4,0:00:34,0:00:01,-33,0.764,перед судебным следователем стоит маленький чрезвычайно тощий мужичонко,судебным следователем стоит маленький чрезвычайной тощие мужичонка в,,https://youtu.be/VG89uZQ8hA4?t=0,
