priority,slug,chapter,heading,video,current_start,proposed_start,delta_sec,score,fb2_opening,heard_at_match,at_window_edge,check_url,new_start_sec
B_ALIGNER_ONLY,ottsy-i-deti,18,Глава 19,0rA3zDZvy4M,4:10:03,4:08:41,-82,0.932,как ни владела собою одинцова как ни стояла,как него дела с собою одинцово как не,,https://youtu.be/0rA3zDZvy4M?t=14918,
B_ALIGNER_ONLY,ottsy-i-deti,25,Глава 26,0rA3zDZvy4M,7:20:19,7:18:13,-126,0.913,покойный одинцов не любил нововведений но допускал некоторую,покойный одинцов не любил нововведения но допускал некоторую,,https://youtu.be/0rA3zDZvy4M?t=26290,
B_ALIGNER_ONLY,vechnyy-muzh,6,Глава 7,Ozls9E3_3pk,2:04:24,2:03:53,-31,0.968,он ужасно спешил узнать давеча меня ошеломило давеча,он ужасно спешил узнать давича меня ошаломила давича,,https://youtu.be/Ozls9E3_3pk?t=7430,
B_ALIGNER_ONLY,yunost,2,Глава 3,BOIXjt-_2UI,0:12:22,0:11:37,-45,0.981,нынче я исповедаюсь очищаюсь от всех грехов думал,нынче я исповедуюсь очищаю от всех грехов думал,,https://youtu.be/BOIXjt-_2UI?t=693,
B_ALIGNER_ONLY,yunost,12,Глава 13,BOIXjt-_2UI,1:29:56,1:29:18,-38,0.88,впрочем и эти мысли имели свою прелесть восьмого,большой впрочем и эти мысли имели свою 8,,https://youtu.be/BOIXjt-_2UI?t=5354,
B_ALIGNER_ONLY,yunost,16,Глава 17,BOIXjt-_2UI,2:12:41,2:11:41,-60,0.959,проснувшись на другой день первою мыслию моею было,проснувшись на другой день первою мыслью моей было,,https://youtu.be/BOIXjt-_2UI?t=7898,
B_ALIGNER_ONLY,yunost,17,Глава 18,BOIXjt-_2UI,2:21:09,2:20:30,-39,0.931,итак я отправился один первый визит был по,я отправился один первый визит был по местности,,https://youtu.be/BOIXjt-_2UI?t=8427,
B_ALIGNER_ONLY,yunost,19,Глава 20,BOIXjt-_2UI,2:39:52,2:39:22,-30,0.798,мне еще тяжелей стало думать о предстоящем необходимом,неприятно заразилось о предстоящем необходимом визите но прежде,,https://youtu.be/BOIXjt-_2UI?t=9558,
B_ALIGNER_ONLY,yunost,25,Глава 26,BOIXjt-_2UI,3:47:48,3:45:37,-131,0.636,во время чая чтение прекратилось и дамы занялись,с самой выгодной стороны во время чая чтение,,https://youtu.be/BOIXjt-_2UI?t=13533,
B_ALIGNER_ONLY,yunost,26,Глава 27,BOIXjt-_2UI,3:57:24,3:56:09,-75,0.77,когда после прогулки мы вернулись домой варенька не,когда после прогулки мы домой тела петь как,,https://youtu.be/BOIXjt-_2UI?t=14166,
B_ALIGNER_ONLY,yunost,30,Глава 31,BOIXjt-_2UI,4:41:59,4:41:28,-31,0.772,уже несколько раз в продолжение этого рассказа я,гуще глава комельо уже неско раз в продолжени,,https://youtu.be/BOIXjt-_2UI?t=16885,
C_BOTH_METHODS_AGREE,bratya-karamazovy,16,ЧАСТЬ ПЕРВАЯ — КНИГА ТРЕТЬЯ — III Исповедь горячего сердца. В стихах,U5blK3O_Ivs,5:53:58,5:58:57,299,0.992,алеша выслушав приказание отца которое тот выкрикнул ему,алеша выслушав приказания отца которое тот выкрикнул ему,,https://youtu.be/U5blK3O_Ivs?t=21534,
C_BOTH_METHODS_AGREE,bratya-karamazovy,66,ЧАСТЬ ТРЕТЬЯ — КНИГА ДЕВЯТАЯ — VI Прокурор поймал Митю,mBgLa4lcLPU,2:10:26,2:18:34,488,0.995,началось нечто совсем для мити неожиданное и удивительное,началось нечто совсем для мити неожиданное и удивительное,,https://youtu.be/mBgLa4lcLPU?t=8310,
C_BOTH_METHODS_AGREE,dyadyushkin-son,2,Глава 3,Q3SXgeVah0k,0:30:49,0:25:37,-312,0.952,десять часов утра мы в доме марьи александровны,третья 10сов утра мы в доме марии александровны,,https://youtu.be/Q3SXgeVah0k?t=1533,
C_BOTH_METHODS_AGREE,dyadyushkin-son,10,Глава 11,Q3SXgeVah0k,4:10:07,4:03:25,-402,0.948,мозгляков вышел от марьи александровны по видимому вполне,мозгляков вышел от мари александровны по видимому вполне,,https://youtu.be/Q3SXgeVah0k?t=14602,
C_BOTH_METHODS_AGREE,kazaki,15,Глава 16,iyPsxqSj-zQ,2:56:31,2:52:53,-218,0.914,дядя ерошка был заштатный и одинокий казак жена,дядя ерошка был за штатный и одинокий казак,,https://youtu.be/iyPsxqSj-zQ?t=10369,
C_BOTH_METHODS_AGREE,kazaki,31,Глава 32,iyPsxqSj-zQ,5:37:11,5:33:05,-246,0.969,раза два он останавливался прислушиваясь к звонкому смеху,раза два он останавливался прислушиваясь к звонко смеху,,https://youtu.be/iyPsxqSj-zQ?t=19981,
C_BOTH_METHODS_AGREE,krasnyy-smekh,1,Глава 2,Io5The4PKHE,0:14:06,0:11:59,-127,0.871,почти все лошади и прислуга на восьмой батарее,второй почти все лошади и прислуга на восьмой,,https://youtu.be/Io5The4PKHE?t=716,
C_BOTH_METHODS_AGREE,krasnyy-smekh,12,Глава 13,Io5The4PKHE,1:52:45,1:52:03,-42,0.935,повсеместные побоища бессмысленные и кровавые малейший толчок вызывает,и повсеместные побоище бессмысленные и малейший толчок вызывает,,https://youtu.be/Io5The4PKHE?t=6720,
C_BOTH_METHODS_AGREE,otrochestvo,12,Глава 13,n3Wsnd8h9_s,1:38:53,1:37:39,-74,0.888,после обеда начались petits jeux и я принимал,после обеда начались комнатные игры и я принимал,,https://youtu.be/n3Wsnd8h9_s?t=5856,
C_BOTH_METHODS_AGREE,otrochestvo,17,Глава 18,n3Wsnd8h9_s,2:18:18,2:15:08,-190,0.659,я чувствовал себя все более и более одиноким,какие бы то ни было отношения глава восемнадцатая,,https://youtu.be/n3Wsnd8h9_s?t=8104,
C_BOTH_METHODS_AGREE,ottsy-i-deti,11,Глава 12,0rA3zDZvy4M,2:16:53,2:13:28,-205,0.937,город куда отправились наши приятели состоял в ведении,город куда отправились наши приятели состоял видение губернаторы,,https://youtu.be/0rA3zDZvy4M?t=8004,
C_BOTH_METHODS_AGREE,yunost,9,Глава 10,BOIXjt-_2UI,1:02:54,1:00:46,-128,0.73,шестнадцатого апреля я в первый раз под покровительством,десятая экзамен истории 16 апреля я в первый,,https://youtu.be/BOIXjt-_2UI?t=3642,
