slug	author	ru_title	en_title	pg	pg2	en_url	en_src	ru_url	tier	translator	year	length	category	verse
dva-gusara	Толстой	Два гусара · Три смерти · Люцерн	Two Hussars · Three Deaths · Lucerne	41119	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/	3	Nathan H. Dole	1887	Stories	Short Stories	0
polikushka	Толстой	Поликушка	Polikushka	56797	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/	3	Dole / Tucker	1899	Novella	Novels	0
semeynoe-schastie	Толстой	Семейное счастие	Katia (Family Happiness)	44266	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/	3	anonymous	1887	Novella	Novels	0
tri-sestry	Чехов	Три сестры	The Three Sisters	7986	-	-	-	https://ilibrary.ru/text/973/p.1/index.html	1	Julius West	1916	Play, 4 acts	Plays	0
kryzhovnik	Чехов	Крыжовник	Gooseberries	1883	-	-	-	https://ilibrary.ru/text/460/p.1/index.html	1	Constance Garnett	1918	Short story	Short Stories	0
o-lyubvi	Чехов	О любви	About Love	1883	-	-	-	https://ilibrary.ru/text/461/p.1/index.html	1	Constance Garnett	1918	Short story	Short Stories	0
medved	Чехов	Медведь	The Bear	7986	-	-	-	https://ilibrary.ru/text/996/p.1/index.html	1	Julius West	1916	One-act farce	Plays	0
khameleon	Чехов	Хамелеон	A Chameleon	13417	-	-	-	https://ilibrary.ru/text/463/p.1/index.html	1	Constance Garnett	1922	Short story	Short Stories	0
vanka	Чехов	Ванька	Vanka	13417	-	-	-	https://ilibrary.ru/text/983/p.1/index.html	1	Constance Garnett	1922	Short story	Short Stories	0
kashtanka	Чехов	Каштанка	Kashtanka	13417	-	-	-	https://ilibrary.ru/text/1146/p.1/index.html	1	Constance Garnett	1922	Short story	Short Stories	0
zloumyshlennik	Чехов	Злоумышленник	A Malefactor	1944	-	-	-	https://ilibrary.ru/text/992/p.1/index.html	1	Constance Garnett	1918	Short story	Short Stories	0
pari	Чехов	Пари	The Bet	1732	-	-	-	https://ilibrary.ru/text/1540/p.1/index.html	1	Constance Garnett	1920	Short story	Short Stories	0
duel	Чехов	Дуэль	The Duel	13505	-	-	-	https://ilibrary.ru/text/1339/p.1/index.html	2	Constance Garnett	1916	Novella	Novels	0
step	Чехов	Степь	The Steppe	13419	-	-	-	https://ilibrary.ru/text/1337/p.1/index.html	2	Constance Garnett	1919	Novella	Novels	0
ivanov	Чехов	Иванов	Ivanoff	1755	-	-	-	https://ilibrary.ru/text/964/p.1/index.html	2	Marian Fell	1912	Play	Plays	0
skuchnaya-istoriya	Чехов	Скучная история	A Dreary Story	1883	-	-	-	https://ilibrary.ru/text/1543/p.1/index.html	2	Constance Garnett	1918	Novella	Novels	0
v-ovrage	Чехов	В овраге	In the Ravine	1944	-	-	-	https://ilibrary.ru/text/1183/p.1/index.html	2	Constance Garnett	1918	Novella	Novels	0
muzhiki	Чехов	Мужики	Peasants	1944	-	-	-	https://ilibrary.ru/text/1160/p.1/index.html	2	Constance Garnett	1918	Novella	Novels	0
ionych	Чехов	Ионыч	Ionitch	13415	-	-	-	https://ilibrary.ru/text/437/p.1/index.html	2	Constance Garnett	1917	Short story	Short Stories	0
chernyy-monakh	Чехов	Чёрный монах	The Black Monk	13415	-	-	-	https://ilibrary.ru/text/985/p.1/index.html	2	Constance Garnett	1917	Novella	Novels	0
arkhierey	Чехов	Архиерей	The Bishop	13419	-	-	-	https://ilibrary.ru/text/1185/p.1/index.html	2	Constance Garnett	1919	Short story	Short Stories	0
skripka-rotshilda	Чехов	Скрипка Ротшильда	Rothschild's Fiddle	13418	-	-	-	https://ilibrary.ru/text/978/p.1/index.html	2	Constance Garnett	1920	Short story	Short Stories	0
poprygunya	Чехов	Попрыгунья	The Grasshopper	1883	-	-	-	https://ilibrary.ru/text/706/p.1/index.html	2	Constance Garnett	1918	Short story	Short Stories	0
tolstyy-i-tonkiy	Чехов	Толстый и тонкий	Fat and Thin	13414	-	-	-	https://ilibrary.ru/text/464/p.1/index.html	2	Constance Garnett	1922	Short story	Short Stories	0
dom-s-mezoninom	Чехов	Дом с мезонином	An Artist's Story	13416	-	-	-	https://ilibrary.ru/text/1050/p.1/index.html	2	Constance Garnett	1916	Short story	Short Stories	0
svadba	Чехов	Свадьба	The Wedding	7986	-	-	-	https://ilibrary.ru/text/967/p.1/index.html	2	Julius West	1916	One-act	Plays	0
yubiley	Чехов	Юбилей	The Anniversary	7986	-	-	-	https://ilibrary.ru/text/969/p.1/index.html	3	Julius West	1916	One-act	Plays	0
uchitel-slovesnosti	Чехов	Учитель словесности	The Teacher of Literature	13413	-	-	-	https://ilibrary.ru/text/1159/p.1/index.html	3	Constance Garnett	1917	Short story	Short Stories	0
moya-zhizn	Чехов	Моя жизнь	My Life	13418	-	-	-	https://ilibrary.ru/text/6/p.1/index.html	3	Constance Garnett	1920	Novella	Novels	0
stikhotvoreniya-v-proze	Тургенев	Стихотворения в прозе	Poems in Prose	8935	-	-	-	https://ilibrary.ru/text/1378/p.1/index.html	1	Constance Garnett	1897	Prose poems	Poetry	1
rudin	Тургенев	Рудин	Rudin	6900	-	-	-	https://ilibrary.ru/text/1198/p.1/index.html	1	Constance Garnett	1894	Novel	Novels	0
pervaya-lyubov	Тургенев	Первая любовь	First Love	9911	-	-	-	https://ilibrary.ru/text/1335/p.1/index.html	1	Constance Garnett	1897	Novella	Novels	0
mu-mu	Тургенев	Му-му	Mumu	9911	-	-	-	https://ilibrary.ru/text/1250/p.1/index.html	1	Constance Garnett	1897	Short story	Short Stories	0
nakanune	Тургенев	Накануне	On the Eve	6902	-	-	-	https://ilibrary.ru/text/1648/p.1/index.html	2	Constance Garnett	1895	Novel	Novels	0
veshnie-vody	Тургенев	Вешние воды	The Torrents of Spring	9911	-	-	-	https://ilibrary.ru/text/4302/p.1/index.html	2	Constance Garnett	1897	Novel	Novels	0
asya	Тургенев	Ася	Acia	52642	-	-	-	https://ilibrary.ru/text/1097/p.1/index.html	2	Constance Garnett	1906	Novella	Novels	0
dym	Тургенев	Дым	Smoke	40813	-	-	-	https://rvb.ru/turgenev/01text/vol_07/01text/0191-full.htm	2	Constance Garnett	1896	Novel	Novels	0
dnevnik-lishnego-cheloveka	Тургенев	Дневник лишнего человека	The Diary of a Superfluous Man	9615	-	-	-	-	2	Constance Garnett	1899	Novella	Novels	0
nov	Тургенев	Новь	Virgin Soil	2466	-	-	-	https://rvb.ru/turgenev/01text/vol_09/01text/0207.htm	3	R. S. Townsend	1911	Novel	Novels	0
punin-i-baburin	Тургенев	Пунин и Бабурин	Punin and Baburin	8871	-	-	-	-	3	Constance Garnett	1907	Novella	Novels	0
revizor	Гоголь	Ревизор	The Inspector-General	3735	-	-	-	https://ilibrary.ru/text/473/p.1/index.html	1	Thomas Seltzer	1916	Play, 5 acts	Plays	0
shinel	Гоголь	Шинель	The Cloak / The Mantle	36238	-	-	-	https://ilibrary.ru/text/980/p.1/index.html	1	three PD options	1916	Short story	Short Stories	0
nos	Гоголь	Нос	The Nose	36238	-	-	-	https://ilibrary.ru/text/76/p.1/index.html	1	Claud Field	1916	Short story	Short Stories	0
zapiski-sumasshedshego	Гоголь	Записки сумасшедшего	Memoirs of a Madman	36238	-	-	-	https://ilibrary.ru/text/14/p.1/index.html	1	Claud Field	1916	Short story	Short Stories	0
taras-bulba	Гоголь	Тарас Бульба	Taras Bulba	1197	-	-	-	https://ilibrary.ru/text/1070/p.3/index.html	1	attrib. Isabel Hapgood	1915	Short novel	Novels	0
viy	Гоголь	Вий	The Viy	36238	-	-	-	https://ilibrary.ru/text/1002/index.html	1	Claud Field	1916	Novella	Novels	0
portret	Гоголь	Портрет	The Mysterious Portrait	1197	-	-	-	https://ilibrary.ru/text/77/p.1/index.html	2	attrib. Isabel Hapgood	1915	Novella	Novels	0
kak-possorilsya-ivan-ivanovich-s-ivanom-nikiforovich	Гоголь	Как поссорился Иван Иванович с Иваном Никифоровичем	How the Two Ivans Quarrelled	1197	-	-	-	https://ilibrary.ru/text/1070/p.1/index.html	2	attrib. Isabel Hapgood	1915	Novella	Novels	0
vecher-nakanune-ivana-kupala	Гоголь	Вечер накануне Ивана Купала	St. John's Eve	1197	-	-	-	https://ilibrary.ru/text/1090/index.html	3	attrib. Isabel Hapgood	1915	Short story	Short Stories	0
kolyaska	Гоголь	Коляска	The Calash	1197	-	-	-	https://ilibrary.ru/text/1550/p.1/index.html	3	attrib. Isabel Hapgood	1915	Short story	Short Stories	0
dubrovskiy	Пушкин	Дубровский	Dubrovsky	55219	-	-	-	https://rvb.ru/pushkin/01text/06prose/01prose/0865.htm	1	T. Keane	1894	Novel, unfinished	Novels	0
arap-petra-velikogo	Пушкин	Арап Петра Великого	Peter the Great's Negro	55219	-	-	-	http://az.lib.ru/p/pushkin_a_s/	2	T. Keane	1894	Novella, unfinished	Novels	0
kirdzhali	Пушкин	Кирджали	Kirdjali	55219	-	-	-	http://az.lib.ru/p/pushkin_a_s/	3	T. Keane	1894	Very short	Short Stories	0
mtsyri	Лермонтов	Мцыри	The Circassian Boy	-	-	https://catalog.hathitrust.org/Record/008636523	HathiTrust	https://rvb.ru/19vek/lermontov/	2	S. S. Conant	1875	Narrative poem	Poetry	1
pesnya-pro-kuptsa-kalashnikova	Лермонтов	Песня про купца Калашникова	The Song of the Merchant Kalashnikov	-	-	https://archive.org/details/sixlyricsfromrut00shevrich	Archive.org	https://rvb.ru/19vek/lermontov/	2	E. L. Voynich	1911	Narrative poem	Poetry	1
parus	Лермонтов	Парус · Смерть поэта · Молитва + 19 more	The Sail · On the Death of Pushkin · A Prayer …	11985	-	-	-	https://rvb.ru/19vek/lermontov/	2	M. G. D. Bianchi	1916	22 lyrics	Poetry	1
obyknovennaya-istoriya	Гончаров	Обыкновенная история	A Common Story	-	-	https://archive.org/details/cu31924026662183	Archive.org	https://ilibrary.ru/text/475/index.html	2	Constance Garnett	1894	Novel	Novels	0
groza	Островский	Гроза	The Storm	7991	-	-	-	https://ilibrary.ru/text/994/index.html	1	Constance Garnett	1899	Play, 5 acts	Plays	0
svoi-lyudi-sochtemsya	Островский	Свои люди — сочтёмся	It's a Family Affair — We'll Settle It Ourselves	10722	-	-	-	http://az.lib.ru/o/ostrowskij_a_n/	2	George Rapall Noyes	1917	Play	Plays	0
ledi-makbet-mtsenskogo-uezda	Лесков	Леди Макбет Мценского уезда	The Lady Macbeth of the Mzinsk District	-	-	https://archive.org/details/NikolaiLeskov-SentryAndOtherStories	Archive.org	https://ilibrary.ru/text/439/index.html	1	A. E. Chamot	1923	Novella	Novels	0
gospoda-golovlevy	Салтыков-Щедрин	Господа Головлёвы	A Family of Noblemen	44237	-	-	-	https://ilibrary.ru/text/2173/index.html	1	Avrahm Yarmolinsky	1917	Novel	Novels	0
chto-delat	Чернышевский	Что делать?	What Is to Be Done?	-	-	https://standardebooks.org/ebooks/nikolay-chernyshevsky/what-is-to-be-done/nathan-haskell-dole_simon-s-skidelsky	Standard Ebooks	http://az.lib.ru/c/chernyshewskij_n_g/	2	N. H. Dole & S. S. Skidelsky	1886	Novel	Novels	0
basni	Крылов	Басни	Krilof and His Fables	-	-	https://archive.org/details/krilofhisfables00kryl	Archive.org	https://rvb.ru/18vek/krylov/tocvol3.htm	2	W. R. S. Ralston	1869	Fables	Short Stories	1
byloe-i-dumy	Герцен	Былое и думы	My Past and Thoughts	76599	-	-	-	http://az.lib.ru/g/gercen_a_i/	3	Constance Garnett	1924	Memoir, 6 vols	Novels	0
krasnyy-tsvetok	Гаршин	Красный цветок	The Scarlet Blossom	-	-	https://archive.org/details/signalotherstori00gars	Archive.org	https://ilibrary.ru/text/4438/p.1/index.html	2	Rowland Smith	1912	Short story	Short Stories	0
chetyre-dnya	Гаршин	Четыре дня	Four Days	-	-	https://archive.org/details/signalotherstori00gars	Archive.org	http://az.lib.ru/g/garshin_w_m/	2	Rowland Smith	1912	Short story	Short Stories	0
signal	Гаршин	Сигнал	The Signal	13437	-	-	-	http://az.lib.ru/g/garshin_w_m/	2	Thomas Seltzer (ed.)	1917	Short story	Short Stories	0
attalea-princeps	Гаршин	Attalea princeps	Attalea Princeps	-	-	https://archive.org/details/signalotherstori00gars	Archive.org	https://ilibrary.ru/text/4450/p.1/index.html	3	Rowland Smith	1912	Short allegory	Short Stories	0
detskie-gody-bagrova-vnuka	Аксаков	Детские годы Багрова-внука	Years of Childhood	-	-	https://archive.org/details/yearsofchildhood00aksa	Archive.org	http://az.lib.ru/a/aksakow_s_t/	2	J. D. Duff	1916	Memoir-novel	Novels	0
na-dne	Горький	На дне	The Lower Depths	52468	-	-	-	http://az.lib.ru/g/gorxkij_m/text_0180.shtml	1	Jenny Covan	1922	Play, 4 acts	Plays	0
gospodin-iz-san-frantsisko	Бунин	Господин из Сан-Франциско	The Gentleman from San Francisco	44998	-	-	-	http://az.lib.ru/b/bunin_i_a/text_1760.shtml	1	Koteliansky, Lawrence & Woolf	1922	Short story	Short Stories	0
legkoe-dykhanie	Бунин	Лёгкое дыхание	Light Breathing	44998	-	-	-	http://az.lib.ru/b/bunin_i_a/	1	Koteliansky, Lawrence & Woolf	1922	Very short	Short Stories	0
mat	Горький	Мать	Mother	3783	-	-	-	http://az.lib.ru/g/gorxkij_m/	2	anonymous (Appleton)	1906	Novel	Novels	0
melkiy-bes	Сологуб	Мелкий бес	The Little Demon	48912	-	-	-	http://az.lib.ru/s/sologub_f/	2	John Cournos & Richard Aldington	1916	Novel	Novels	0
poedinok	Куприн	Поединок	The Duel	44117	-	-	-	http://az.lib.ru/k/kuprin_a_i/	2	anonymous (Allen & Unwin)	1916	Novel	Novels	0
rasskaz-o-semi-poveshennykh	Андреев	Рассказ о семи повешенных	The Seven Who Were Hanged	6722	-	-	-	http://az.lib.ru/a/andreew_l_n/text_0400.shtml	2	Herman Bernstein	1909	Novella	Novels	0
krasnyy-smekh	Андреев	Красный смех	The Red Laugh	62460	-	-	-	http://az.lib.ru/a/andreew_l_n/text_0310.shtml	2	Alexandra Linden	1905	Novella	Novels	0
iuda-iskariot	Андреев	Иуда Искариот	Judas Iscariot	49595	-	-	-	http://az.lib.ru/a/andreew_l_n/text_0830.shtml	2	Archibald J. Wolfe	1920	Novella	Novels	0
detstvo	Горький	Детство	My Childhood	-	-	https://archive.org/details/mychildhood15gork	Archive.org	http://az.lib.ru/g/gorxkij_m/	2	anonymous (Century Co.)	1915	Memoir-novel	Novels	0
derevnya	Бунин	Деревня	The Village	59981	-	-	-	http://az.lib.ru/b/bunin_i_a/	2	Isabel F. Hapgood	1923	Novella	Novels	0
olesya	Куприн	Олеся	The Witch	58406	-	-	-	https://ilibrary.ru/text/1180/p.1/index.html	2	Koteliansky & J. M. Murry	1916	Novella	Novels	0
belyy-pudel	Куприн	Белый пудель	The White Poodle	57036	-	-	-	https://ilibrary.ru/text/1545/p.1/index.html	2	Rosa & Stephen Graham	1916	Short story	Short Stories	0
chelkash	Горький	Челкаш	Chelkash	14480	-	-	-	http://az.lib.ru/g/gorxkij_m/text_0013.shtml	2	anonymous (J. F. Taylor)	1902	Short story	Short Stories	0
dvadtsat-shest-i-odna	Горький	Двадцать шесть и одна	Twenty-Six and One	14480	-	-	-	http://az.lib.ru/g/gorxkij_m/	2	anonymous (J. F. Taylor)	1902	Short story	Short Stories	0
son-makara	Короленко	Сон Макара	Makar's Dream	62555	-	-	-	http://az.lib.ru/k/korolenko_w_g/	3	Marian Fell	1916	Short story	Short Stories	0
v-durnom-obshchestve	Короленко	В дурном обществе	In Bad Company	62555	-	-	-	http://az.lib.ru/k/korolenko_w_g/	3	Marian Fell	1916	Novella	Novels	0
yama	Куприн	Яма	Yama: The Pit	4706	-	-	-	http://az.lib.ru/k/kuprin_a_i/	3	Bernard Guilbert Guerney	1922	Novel	Novels	0
sulamif	Куприн	Суламифь	Sulamith	33444	-	-	-	http://az.lib.ru/k/kuprin_a_i/	3	Bernard Guilbert Guerney	1928	Novella	Novels	0
foma-gordeev	Горький	Фома Гордеев	The Man Who Was Afraid	2709	-	-	-	http://az.lib.ru/g/gorxkij_m/text_0001.shtml	3	Herman Bernstein	1901	Novel	Novels	0
zhizn-vasiliya-fiveyskogo	Андреев	Жизнь Василия Фивейского	The Life of Father Vassily	49595	-	-	-	http://az.lib.ru/a/andreew_l_n/	3	Archibald J. Wolfe	1920	Novella	Novels	0
sanin	Арцыбашев	Санин	Sanine	9051	-	-	-	http://az.lib.ru/a/arcybashew_m_p/	3	Percy Pinkerton	1914	Novel	Novels	0
voskresshie-bogi	Мережковский	Воскресшие боги	The Romance of Leonardo da Vinci	47902	-	-	-	http://az.lib.ru/m/merezhkowskij_d_s/	3	Herbert Trench	1904	Novel	Novels	0
silentium	Тютчев	Silentium! · Осенний вечер · и др.	Silentium · Autumn Evening · …	-	-	https://archive.org/details/modernrussianpoe00deutuoft	Archive.org	https://rvb.ru/19vek/tyutchev/	2	Deutsch & Yarmolinsky	1921	6 lyrics	Poetry	1
skify	Блок	Скифы · Незнакомка · Двенадцать (excerpt)	The Scythians · The Unknown Woman · From The Twelve	-	-	https://archive.org/details/modernrussianpoe00deutuoft	Archive.org	https://rvb.ru/20vek/blok/	2	Deutsch & Yarmolinsky	1921	8 pieces	Novels	0
shepot-robkoe-dykhane	Фет	Шёпот, робкое дыханье · и др.	Whispers, Timid Breathing · …	-	-	https://archive.org/details/modernrussianpoe00deutuoft	Archive.org	https://rvb.ru/19vek/fet/	3	Deutsch & Yarmolinsky · Bianchi	1921	3–4 lyrics	Poetry	1
kray-ty-moy	А. К. Толстой	Край ты мой · Волки · Осень · и др.	Russia, O My Russia · The Wolves · Autumn …	11985	-	-	-	https://rvb.ru/tolstoy/	3	Bianchi · Deutsch & Yarmolinsky	1916	8 lyrics	Poetry	1
gryadushchie-gunny	Брюсов	Грядущие гунны · Каменщик · и др.	The Coming Huns · The Stonehewer · …	-	-	https://archive.org/details/modernrussianpoe00deutuoft	Archive.org	https://ru.wikisource.org/wiki/Валерий_Яковлевич_Брюсов	3	Deutsch & Yarmolinsky · Selver	1921	14 lyrics	Poetry	1
kamyshi	Бальмонт	Камыши · Гимн огню · и др.	The Reeds · Hymn to Fire · …	-	-	https://archive.org/details/modernrussianpoe00selv	Archive.org	https://ru.wikisource.org/wiki/Константин_Дмитриевич_Бальмонт	3	Selver · Deutsch & Yarmolinsky	1917	13 lyrics	Poetry	1
preobrazhenie-iii	Есенин	Преображение III · и др. (early)	Transfiguration III · …	-	-	https://archive.org/details/modernrussianpoe00deutuoft	Archive.org	https://rvb.ru/20vek/esenin/	3	Deutsch & Yarmolinsky	1921	4 lyrics	Poetry	1
svetlana	Жуковский	Светлана · Певец во стане русских воинов	Svyetlana · The Minstrel in the Russian Camp	71933	-	-	-	https://rvb.ru/19vek/zhukovsky/	3	Leo Wiener	1902	Ballad + ode	Novels	0
various	Батюшков	various	various	78744	-	-	-	https://rvb.ru/batyushkov/	3	John Bowring	1821	Selection	Novels	0
