slug	author	ru_title	en_title	pg	pg2	en_url	en_src	ru_url	tier	translator	year	length	category	verse
smert-bogov	Мережковский	Смерть богов	The Death of the Gods	46492	-	-	-	http://az.lib.ru/m/merezhkowskij_d_s/	3	Herbert Trench	1901	Novel	Novels	0
vnimaya-uzhasam-voyny	Некрасов	Внимая ужасам войны · и др.	In War · Ye Songs of Mine · …	11985	-	-	-	https://rvb.ru/19vek/nekrasov/	3	Bianchi · Deutsch & Yarmolinsky	1916	10 lyrics	Poetry	1
malchik-u-khrista-na-elke	Достоевский	Мальчик у Христа на ёлке	The Heavenly Christmas Tree	40745	-	-	-	http://az.lib.ru/d/dostoewskij_f_m/text_0540.shtml	1	Constance Garnett	1919	Very short	Short Stories	0
bednye-lyudi	Достоевский	Бедные люди	Poor Folk	2302	-	-	-	https://ilibrary.ru/text/17/p.1/index.html	2	C. J. Hogarth	1915	Short novel	Novels	0
sevastopolskie-rasskazy	Толстой	Севастопольские рассказы	Sevastopol	47197	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/index_4.shtml	2	Isabel F. Hapgood	1888	3 long stories	Short Stories	0
khozyain-i-rabotnik	Толстой	Хозяин и работник	Master and Man	986	-	-	-	http://az.lib.ru/t/tolstoj_lew_nikolaewich/	2	Louise & Aylmer Maude	1895	Novella	Novels	0
nevesta	Чехов	Невеста	Betrothed	13412	-	-	-	https://ilibrary.ru/text/1184/p.1/index.html	3	Constance Garnett	1920	Short story	Short Stories	0
lebedinaya-pesnya	Чехов	Лебединая песня	Swan Song	1753	-	-	-	-	3	Marian Fell	1912	One-act	Plays	0
prizraki	Тургенев	Призраки · Песнь торжествующей любви · Клара Милич	Phantoms · The Song of Triumphant Love · Clara Militch	8935	-	-	-	-	3	Constance Garnett	1897	Novellas	Novels	0
noch-pered-rozhdestvom	Гоголь	Ночь перед Рождеством	The Night of Christmas Eve	58409	-	-	-	https://ilibrary.ru/text/1093/index.html	2	George Tolstoy	1860	Novella	Novels	0
mayskaya-noch-ili-utoplennitsa	Гоголь	Майская ночь, или Утопленница	A May Night	36238	-	-	-	https://ilibrary.ru/text/1091/index.html	2	Claud Field	1916	Novella	Novels	0
istoriya-sela-goryukhina	Пушкин	История села Горюхина	History of the Village of Gorohina	55024	-	-	-	http://az.lib.ru/p/pushkin_a_s/	3	Mrs. H. Sutherland Edwards	1892	Short, unfinished	Short Stories	0
kak-odin-muzhik-dvukh-generalov-prokormil	Салтыков-Щедрин	Как один мужик двух генералов прокормил	How a Muzhik Fed Two Officials	13437	-	-	-	http://az.lib.ru/s/saltykow_m_e/	2	Thomas Seltzer (ed.)	1917	Short fable	Short Stories	1
semeynaya-khronika	Аксаков	Семейная хроника	A Russian Gentleman	38781	-	-	-	http://az.lib.ru/a/aksakow_s_t/	3	J. D. Duff	1917	Memoir-novel	Novels	0
petr-i-aleksey	Мережковский	Пётр и Алексей	Peter and Alexis	61235	-	-	-	http://az.lib.ru/m/merezhkowskij_d_s/	3	anonymous (authorised)	1905	Novel	Novels	0
